,image,cluster,gt_class
0,58f1072e-23d2-11e8-a6a3-ec086b02610b_0_skunk.jpg,4,skunk
1,5a2c83e8-23d2-11e8-a6a3-ec086b02610b_0_squirrel.jpg,4,squirrel
2,598ad107-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,7,opossum
3,596eed9c-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,1,opossum
4,58e281d7-23d2-11e8-a6a3-ec086b02610b_0_car.jpg,9,car
5,59929247-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,4,opossum
6,59d0e17b-23d2-11e8-a6a3-ec086b02610b_0_raccoon.jpg,6,raccoon
7,592abecc-23d2-11e8-a6a3-ec086b02610b_0_squirrel.jpg,0,squirrel
8,597513f6-23d2-11e8-a6a3-ec086b02610b_0_cat.jpg,4,cat
9,58b1324e-23d2-11e8-a6a3-ec086b02610b_1_rabbit.jpg,3,rabbit
10,590a116f-23d2-11e8-a6a3-ec086b02610b_0_rabbit.jpg,4,rabbit
11,593d68bf-23d2-11e8-a6a3-ec086b02610b_0_dog.jpg,14,dog
12,59830789-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,15,opossum
13,58b6665a-23d2-11e8-a6a3-ec086b02610b_0_car.jpg,9,car
14,585c035b-23d2-11e8-a6a3-ec086b02610b_0_car.jpg,9,car
15,59a62a6a-23d2-11e8-a6a3-ec086b02610b_0_coyote.jpg,0,coyote
16,59edef14-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,15,opossum
17,599fbe58-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,7,opossum
18,58823cc8-23d2-11e8-a6a3-ec086b02610b_0_bobcat.jpg,8,bobcat
19,59bfdeb5-23d2-11e8-a6a3-ec086b02610b_0_coyote.jpg,0,coyote
20,59b7a8ac-23d2-11e8-a6a3-ec086b02610b_0_rabbit.jpg,2,rabbit
21,5a1e51cb-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,1,opossum
22,59ef8dd8-23d2-11e8-a6a3-ec086b02610b_0_cat.jpg,5,cat
23,59e1046b-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,7,opossum
24,58e72473-23d2-11e8-a6a3-ec086b02610b_0_cat.jpg,0,cat
25,58871794-23d2-11e8-a6a3-ec086b02610b_0_coyote.jpg,8,coyote
26,58782b61-23d2-11e8-a6a3-ec086b02610b_0_cat.jpg,4,cat
27,58d16032-23d2-11e8-a6a3-ec086b02610b_0_rabbit.jpg,14,rabbit
28,59bca6e4-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,5,opossum
29,59751722-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,1,opossum
30,5976a47a-23d2-11e8-a6a3-ec086b02610b_2_bird.jpg,4,bird
31,59d8ec52-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,15,opossum
32,59bfdf96-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,7,opossum
33,587b7e0a-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,7,opossum
34,59e10233-23d2-11e8-a6a3-ec086b02610b_0_coyote.jpg,3,coyote
35,596d6562-23d2-11e8-a6a3-ec086b02610b_0_bobcat.jpg,6,bobcat
36,59da8ccc-23d2-11e8-a6a3-ec086b02610b_0_bird.jpg,12,bird
37,58995baf-23d2-11e8-a6a3-ec086b02610b_0_bird.jpg,4,bird
38,59a94d26-23d2-11e8-a6a3-ec086b02610b_0_rabbit.jpg,4,rabbit
39,59cb3869-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,5,opossum
40,59f2c63c-23d2-11e8-a6a3-ec086b02610b_0_opossum.jpg,1,opossum
